name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Quincy Acy","Sacramento Kings",2016-02-24,2015,6576,1610612758,400828741,4,2,27,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"Andre Drummond","Detroit Pistons",2016-02-03,2015,6585,1610612765,400828624,4,6,15,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Boston Celtics",0,1,0,0.00,,0.00,0.00
"Jabari Parker","Milwaukee Bucks",2016-02-20,2015,3056600,1610612749,400828706,3,9,40,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",0,1,0,0.00,,0.00,0.00
"Tyson Chandler","Phoenix Suns",2016-02-08,2015,984,1610612756,400828670,3,9,17,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"Harrison Barnes","Golden State Warriors",2016-02-20,2015,6578,1610612744,400828709,3,10,09,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.00,,0.00,0.00
"Tyson Chandler","Phoenix Suns",2016-02-08,2015,984,1610612756,400828670,3,6,42,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"Andre Iguodala","Golden State Warriors",2016-02-22,2015,2386,1610612744,400828723,3,2,22,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",0,1,0,0.00,,0.00,0.00
"Hassan Whiteside","Miami Heat",2016-02-03,2015,4262,1610612748,400828628,3,3,03,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",0,1,0,0.00,,0.00,0.00
"Quincy Acy","Sacramento Kings",2016-02-24,2015,6576,1610612758,400828741,1,8,16,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"Alex Len","Phoenix Suns",2016-02-08,2015,2596107,1610612756,400828670,1,1,02,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"Bismack Biyombo","Toronto Raptors",2016-02-22,2015,6427,1610612761,400828722,2,3,16,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
"Kevin Durant","Oklahoma City Thunder",2016-02-19,2015,3202,1610612760,400828699,1,3,33,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Indiana Pacers",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-22,2015,3442,1610612746,400828726,3,9,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"Nerlens Noel","Philadelphia 76ers",2016-02-08,2015,2991280,1610612755,400828664,4,11,10,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-20,2015,3442,1610612746,400828709,3,2,34,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-08,2015,3442,1610612746,400828664,4,4,30,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"Andrew Bogut","Golden State Warriors",2016-02-22,2015,2747,1610612744,400828723,4,1,27,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",0,1,0,0.00,,0.00,0.00
"Andrew Bogut","Golden State Warriors",2016-02-19,2015,2747,1610612744,400828702,1,11,45,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-22,2015,3442,1610612746,400828726,1,2,39,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"Brandon Bass","Los Angeles Lakers",2016-02-19,2015,2745,1610612747,400828705,2,9,22,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"Hassan Whiteside","Miami Heat",2016-02-22,2015,4262,1610612748,400828721,3,0,21,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Indiana Pacers",0,1,0,0.00,,0.00,0.00
"Dwight Howard","Houston Rockets",2016-02-19,2015,2384,1610612745,400828701,2,3,07,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"Archie Goodwin","Phoenix Suns",2016-02-22,2015,2991281,1610612756,400828726,2,8,56,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Los Angeles Clippers",9,21,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-18,2015,3442,1610612746,0,4,8,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"Aaron Gordon","Orlando Magic",2016-02-26,2015,3064290,1610612753,400828750,3,5,03,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
"Andre Drummond","Detroit Pistons",2016-02-08,2015,6585,1610612765,400828666,1,10,50,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,,0.00,0.00
"Miles Plumlee","Milwaukee Bucks",2016-02-22,2015,6616,1610612749,400828724,2,1,21,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",2,0,0,0.00,,0.00,0.00
"Marcin Gortat","Washington Wizards",2016-02-09,2015,2758,1610612764,400828672,3,10,30,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
"Al Horford","Atlanta Hawks",2016-02-22,2015,3213,1610612737,400828723,3,3,13,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Andrew Bogut","Golden State Warriors",2016-02-09,2015,2747,1610612744,400828675,1,11,44,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-24,2015,3442,1610612746,400828740,4,6,24,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-18,2015,3442,1610612746,0,4,1,32,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"San Antonio Spurs",6,16,0,0.00,,0.00,0.00
"Willie CauleyStein","Sacramento Kings",2016-02-23,2015,2991282,1610612758,400828729,1,4,22,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"Andre Iguodala","Golden State Warriors",2016-02-09,2015,2386,1610612744,400828675,4,2,56,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-20,2015,3442,1610612746,400828709,3,0,35,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Tristan Thompson","Cleveland Cavaliers",2016-02-10,2015,6474,1610612739,400828682,3,0,17,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Tristan Thompson","Cleveland Cavaliers",2016-02-26,2015,6474,1610612739,400828751,1,9,00,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,,0.00,0.00
"LaMarcus Aldridge","San Antonio Spurs",2016-02-09,2015,2983,1610612759,400828671,4,6,54,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Miami Heat",0,1,0,0.00,,0.00,0.00
"Dwight Powell","Dallas Mavericks",2016-02-21,2015,2531367,1610612742,400828717,4,1,04,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"LaMarcus Aldridge","San Antonio Spurs",2016-02-09,2015,2983,1610612759,400828671,1,9,33,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Miami Heat",0,1,0,0.00,,0.00,0.00
"Aaron Gordon","Orlando Magic",2016-02-26,2015,3064290,1610612753,400828750,3,7,12,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
"Alonzo Gee","New Orleans Pelicans",2016-02-11,2015,4232,1610612740,400828689,2,5,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"DeMarcus Cousins","Sacramento Kings",2016-02-23,2015,4258,1610612758,400828729,4,4,14,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
